Date,Open,High,Low,Close,Adj Close,Volume
2013-09-26,170.909088,173.981812,170.000000,171.845459,147.321930,1835531
2013-09-27,172.545456,172.609085,166.490906,167.872726,143.916138,3158456
2013-09-30,165.272720,166.727264,159.736359,160.899994,137.938461,2826999
2013-10-01,162.181824,166.536362,160.736359,165.636368,141.998917,2383528
2013-10-03,166.372726,170.909088,164.636368,170.527267,146.191879,2582827
2013-10-04,169.818176,171.636368,167.418182,169.172729,145.030640,2507064
2013-10-07,167.090912,167.090912,162.272720,166.627274,142.848419,2918756
2013-10-08,172.363632,172.927277,169.454544,170.399994,146.082748,1652590
2013-10-09,168.363632,173.636368,165.109085,172.681824,148.038940,2551779
2013-10-10,171.818176,174.000000,169.827271,172.354538,147.758392,2201819
2013-10-11,174.727264,181.618179,172.981812,180.990906,155.162277,2910049
2013-10-14,180.727264,182.690903,179.472733,180.945450,155.123291,1567455
2013-10-15,181.818176,182.363632,176.745453,177.354538,152.044846,1228308
2013-10-17,176.909088,178.072723,174.290909,175.663635,150.595261,1100752
2013-10-18,177.090912,184.363632,176.954544,183.454544,157.274338,2897091
2013-10-21,183.527267,186.463638,182.545456,183.681824,157.469193,1621977
